GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Profesores,es.iespuertodelacruz.gersancabo.elementos,Profesor,45,34,9,1,14,11,9,6,4,6
Profesores,es.iespuertodelacruz.gersancabo,App,7,0,0,0,3,0,2,0,2,0
Profesores,es.iespuertodelacruz.gersancabo,ProfesorException,9,0,0,0,4,0,2,0,2,0
Profesores,es.iespuertodelacruz.gersancabo,Lista,7,37,1,1,1,11,1,5,0,5
