GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mvc,es.iespuertodelacruz.gersancabo.modelo,Fichero,134,0,10,0,39,0,11,0,6,0
mvc,es.iespuertodelacruz.gersancabo.modelo,FrutaModelo,15,0,0,0,8,0,5,0,5,0
mvc,es.iespuertodelacruz.gersancabo.controlador,FrutaController,180,0,28,0,49,0,22,0,8,0
mvc,es.iespuertodelacruz.gersancabo.vista,AppFruteria,17,0,0,0,7,0,3,0,3,0
mvc,es.iespuertodelacruz.gersancabo.api,Fruta,0,52,0,0,0,20,0,11,0,11
mvc,es.iespuertodelacruz.gersancabo.exception,FicheroException,9,0,0,0,4,0,2,0,2,0
mvc,es.iespuertodelacruz.gersancabo.exception,FrutaException,9,0,0,0,4,0,2,0,2,0
