GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Floristeria,es.iespuertodelacruz.gersancabo.elementos,Planta,0,77,0,0,0,22,0,9,0,9
Floristeria,es.iespuertodelacruz.gersancabo,GestionPlantas,0,60,0,0,0,16,0,7,0,7
