GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ficheros,es.iespuertodelacruz.gersancabo,EscrituraFicheros,28,24,2,0,11,7,2,2,1,2
Ficheros,es.iespuertodelacruz.gersancabo,LecturaFicheros,70,0,6,0,21,0,6,0,3,0
Ficheros,es.iespuertodelacruz.gersancabo.exception,FicheroException,9,0,0,0,4,0,2,0,2,0
